The problem entered was an instance of spLCP having the form

	w_12 = 0                          >= 0 
	z_13 = 8434/365*x_1 + 92347/730   >= 0 
	z_14 = 13901/730*x_1 + 25139/730  >= 0 
	z_15 = 23043/365*x_1 + 41162/365  >= 0 
	z_16 = 2                          >= 0 
	z_17 = 2                          >= 0 
	z_18 = 0                          >= 0 
	z_19 = 2                          >= 0 
	z_20 = 1                          >= 0 
	z_21 = 1                          >= 0 
	z_22 = 1                          >= 0 
	w_23 = 39432/365*x_1 + 211841/730 >= 0 
	z_24 = 2                          >= 0 
	z_25 = 1                          >= 0 

	Valid over:	0.101584844712137 <= x_1 <= 1


Region 2:

	z_1 = -17742/203*x_1 + 18447/203  >= 0 
	z_2 = -29719/406*x_1 + 3019/406   >= 0 
	z_3 = -64859/812*x_1 + 61777/812  >= 0 
	w_4 = 0                           >= 0 
	w_5 = 0                           >= 0 
	z_6 = -17/812*x_1 + 19059/812     >= 0 
	w_7 = 0                           >= 0 
	z_8 = 17/116*x_1 + 1821/116       >= 0 
	z_9 = -691/812*x_1 + 48621/812    >= 0 
	w_10 = 0                           >= 0 
	w_11 = 0                           >= 0 
	w_12 = 0                           >= 0 
	z_13 = -92541/812*x_1 + 114027/812 >= 0 
	z_14 = -2526/203*x_1 + 7640/203    >= 0 
	z_15 = -32862/203*x_1 + 27533/203  >= 0 
	z_16 = 2                           >= 0 
	z_17 = 2                           >= 0 
	z_18 = 0                           >= 0 
	z_19 = 2                           >= 0 
	z_20 = 1                           >= 0 
	z_21 = 1                           >= 0 
	z_22 = 1                           >= 0 
	w_23 = -19467/116*x_1 + 36913/116  >= 0 
	z_24 = 2                           >= 0 
	z_25 = 1                           >= 0 

	Valid over:	0 <= x_1 <= 0.101584844712137




Note: The region descriptions above do not include the 'additional restrictions' listed at the top of this document, although these restrictions do, of course, apply to all regions. Additionally, all omitted variables should be assumed to be zero.
